the_geom,BIN,CNSTRCT_YR,NAME,LSTMODDATE,LSTSTATYPE,DOITT_ID,HEIGHTROOF,FEAT_CODE,GROUNDELEV,SHAPE_AREA,SHAPE_LEN,BASE_BBL,MPLUTO_BBL,GEOMSOURCE
"MULTIPOLYGON (((-73.77509010751909 40.68472663014672, -73.77511899630014 40.68470313809339, -73.77516665637596 40.68473710146247, -73.77513776759395 40.68476059442815, -73.77509010751909 40.68472663014672)))",4578379,1925,,08/17/2017 12:00:00 AM +0000,Constructed,1227901,10.57,5110,22,212.27734092364,59.66050120197,4123720204,4123720204,Photogramm
"MULTIPOLYGON (((-73.97241266381114 40.629315031625104, -73.97249531877095 40.62930584541589, -73.97261664813033 40.629292361179495, -73.97272781564327 40.62928000545769, -73.97273672046607 40.6293265122035, -73.97266513749463 40.62936039256629, -73.97240425524598 40.62948386712754, -73.97239259079502 40.62942294957944, -73.9723727766116 40.629319465211296, -73.97241266381114 40.629315031625104)))",3170325,1931,,08/22/2017 12:00:00 AM +0000,Constructed,591933,13.64,2100,44,3866.85371394551,285.88700524746,3065030001,3065030001,Photogramm
"MULTIPOLYGON (((-74.17453074661975 40.6270662071759, -74.17461776495809 40.62679749718324, -74.17472548391866 40.62681774745202, -74.17463846598761 40.62708645752566, -74.17453074661975 40.6270662071759)))",5151975,1987,,09/23/2013 12:00:00 AM +0000,Constructed,1096052,12.1,2100,8,3105.48151332664,263.26409119216,5013840150,5013840150,Photogramm
"MULTIPOLYGON (((-73.79209768889613 40.7569944263545, -73.79222337640944 40.756987915524284, -73.7922265921242 40.75702381465632, -73.79222704301895 40.75702884570497, -73.79221348727712 40.75702954886462, -73.79221570739705 40.757054326733325, -73.79210357668865 40.757060135312585, -73.79210249984932 40.75704811249344, -73.79209768889613 40.7569944263545)))",4124321,1935,,08/22/2017 12:00:00 AM +0000,Constructed,958454,29.47,2100,67,803.41222678345,117.7934866904,4055120046,4055120046,Photogramm
"MULTIPOLYGON (((-73.92554066446792 40.70095338944826, -73.92565364579612 40.70083860664015, -73.92570769817898 40.70086942195309, -73.92559471689061 40.70098420571435, -73.92554066446792 40.70095338944826)))",3072927,2003,,08/22/2017 12:00:00 AM +0000,Constructed,986709,25.11,2100,52,978.47443039445,141.95543654197,3032090105,3032090105,Photogramm
"MULTIPOLYGON (((-73.7745576344253 40.77151434657338, -73.77472693917571 40.77149348970168, -73.77474405585494 40.77157380058288, -73.77458991399672 40.771592789777856, -73.77455302535606 40.771597333600525, -73.77453590890117 40.77151702269122, -73.7745576344253 40.77151434657338)))",4135886,1951,,08/22/2017 12:00:00 AM +0000,Constructed,340635,15.9,2100,81,1588.85917418676,166.4878259221,4061130013,4061130013,Photogramm
"MULTIPOLYGON (((-73.96664570466969 40.62599676998362, -73.96684846176461 40.62597749086253, -73.96685938726297 40.62604419372406, -73.96661621040211 40.62606731716105, -73.96660638332114 40.62600732436975, -73.96664680403327 40.626003480977246, -73.96664570466969 40.62599676998362)))",3170958,1925,,08/22/2017 12:00:00 AM +0000,Constructed,96807,29.74985318,2100,40,1638.13922865944,185.03438963461,3065220021,3065220021,Photogramm
"MULTIPOLYGON (((-74.16790202462265 40.63936048076974, -74.16790466499279 40.63928227843775, -74.16799990780702 40.63928414478839, -74.16799726754616 40.63936234622199, -74.16790202462265 40.63936048076974)))",5028452,1965,,08/22/2017 12:00:00 AM +0000,Constructed,326368,22.63,2100,39,753.60412114291,109.88457013345,5012640036,5012640036,Photogramm
"MULTIPOLYGON (((-74.19510813278613 40.556106814799705, -74.19520054332834 40.55605083763535, -74.19524961157205 40.55609796351206, -74.19515720100307 40.55615393981517, -74.19510813278613 40.556106814799705)))",5078368,1970,,08/22/2017 12:00:00 AM +0000,Constructed,746627,35.76,2100,51,718.9495787629,109.43305231913,5060190091,5060190091,Photogramm
"MULTIPOLYGON (((-73.96113466505085 40.57743931616439, -73.96115106427175 40.577438626506336, -73.9611482066905 40.57739910513132, -73.96113180866084 40.57739979388887, -73.9611262071817 40.577322309983394, -73.96119013863581 40.577319622821236, -73.96120349754274 40.57750443832977, -73.9611403239488 40.57751761146039, -73.96113466505085 40.57743931616439)))",3245111,1928,,08/22/2017 12:00:00 AM +0000,Constructed,786626,37.5,2100,6,1167.66412052299,183.80050188222,3086910048,3086910048,Photogramm
"MULTIPOLYGON (((-73.75421559146167 40.755912766192935, -73.75417113840834 40.75583703940838, -73.75416954970628 40.75583433359123, -73.75417099507204 40.75583384319693, -73.75434550603411 40.7557746063006, -73.7543790865909 40.75583181158535, -73.75438548342616 40.75582964059049, -73.75438936184118 40.75582832421152, -73.75438983492269 40.75582913027502, -73.75439083522384 40.755830833468806, -73.75440318244121 40.755851865961574, -73.75440447812232 40.75585407316941, -73.75440562905285 40.7558560342297, -73.7543822340519 40.7558639754638, -73.75433207309489 40.75588100157896, -73.75432826725606 40.755874518804575, -73.75421559146167 40.755912766192935)))",4161096,1950,,08/22/2017 12:00:00 AM +0000,Constructed,746409,18.01511294,2100,93,1754.7092174999,180.76420557912,4075020005,4075020005,Photogramm
"MULTIPOLYGON (((-74.14644228489016 40.58885592223215, -74.146444480195 40.588834085317316, -74.14644630091722 40.588815961742334, -74.14650961567864 40.58881965963051, -74.14651427748278 40.588819931948386, -74.14651461157415 40.588816609487516, -74.14651655368968 40.58879729256157, -74.14653249785842 40.588798224084144, -74.14661713805317 40.58880316715675, -74.14661420414487 40.58883236320316, -74.14662261689688 40.5888328549611, -74.14661925989091 40.58886625879793, -74.14644228489016 40.58885592223215)))",5122427,1997,,08/22/2017 12:00:00 AM +0000,Constructed,933599,32.5,2100,175,945.9728948473,144.34205334184,5019900003,5019900003,Photogramm
"MULTIPOLYGON (((-73.81922943907101 40.68510398323014, -73.81929547766185 40.68508341921851, -73.8193112085264 40.68511269357095, -73.81924516990897 40.685133258492044, -73.81922943907101 40.68510398323014)))",4559791,1920,,08/17/2017 12:00:00 AM +0000,Constructed,1205350,12.1716,5110,40,228.03251976565,62.62397572639,4096030070,4096030070,Photogramm
"MULTIPOLYGON (((-74.221228292902 40.53031772603126, -74.22124223920417 40.53025879904918, -74.22125236312735 40.53021602504551, -74.22130278484906 40.53022297271082, -74.22129375039647 40.53026114290739, -74.22127539281102 40.53033870497385, -74.22122497218207 40.5303317563938, -74.221228292902 40.53031772603126)))",5133580,2001,,08/22/2017 12:00:00 AM +0000,Constructed,937499,27.31,2100,105,610.26091610073,114.17802433894,5073560090,5073560090,Photogramm
"MULTIPOLYGON (((-74.1030895208037 40.574603152737645, -74.10313477660922 40.574553455365226, -74.10314004461185 40.574556244064404, -74.10315606245021 40.57453865413484, -74.10323038660458 40.574578006054544, -74.10321436995734 40.57459559599333, -74.10321934129486 40.57459822826405, -74.10318579531798 40.57463506556046, -74.10313068660432 40.57469558350189, -74.10304612303585 40.57465081053715, -74.1030895208037 40.574603152737645)))",5053676,1950,,08/22/2017 12:00:00 AM +0000,Constructed,105644,16.08,2100,8,1431.08731037174,159.16510925931,5037020035,5037020035,Photogramm
"MULTIPOLYGON (((-73.9185698415329 40.762790749146475, -73.9186158103496 40.76273443074723, -73.91864599341378 40.76274867283517, -73.91867352866359 40.7627616667476, -73.91866262478266 40.76277502614136, -73.91862755987577 40.762817986070154, -73.9186141573987 40.7628116613637, -73.9185698415329 40.762790749146475)))",4542568,1923,,08/17/2017 12:00:00 AM +0000,Constructed,1210246,14.43,5110,54,454.44373314023,85.9345533824,4006510079,4006510079,Other (Man
"MULTIPOLYGON (((-73.82694337785975 40.69265328939105, -73.82710446962707 40.692608105955266, -73.82713006236752 40.69266096769209, -73.82696897048982 40.69270615116342, -73.82694337785975 40.69265328939105)))",4199149,1925,,08/22/2017 12:00:00 AM +0000,Constructed,607250,29.18,2100,55,977.184311249,136.26852232242,4094370034,4094370034,Photogramm
"MULTIPOLYGON (((-74.15369944497655 40.623756372182676, -74.15371245515905 40.6236491990345, -74.15376880145263 40.623653169726374, -74.15375579135979 40.623760342880885, -74.15369944497655 40.623756372182676)))",5127645,1996,,08/22/2017 12:00:00 AM +0000,Constructed,616143,26.41,2100,68,615.9683703351,109.84216873044,5017010011,5017010011,Photogramm
"MULTIPOLYGON (((-74.1344861688728 40.60056353232191, -74.13448685124422 40.60054509601074, -74.1345135249446 40.60054566994518, -74.13451712145553 40.6004484038172, -74.13453011328639 40.60044868308083, -74.13461251145766 40.60045045338097, -74.13460807489908 40.60057048932681, -74.13460803902794 40.60057144932668, -74.13451264767158 40.60056939976056, -74.13451284257866 40.60056410535605, -74.1344861688728 40.60056353232191)))",5034441,1970,,08/22/2017 12:00:00 AM +0000,Constructed,502079,16.28,2100,208,1218.42911131399,156.01934348987,5019860043,5019860043,Photogramm
